,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
356,Oyama,36.3,139.8,43.0,35,15,12.66,JP,1611923945
357,Waipawa,-41.4122,175.5153,57.2,67,75,23.02,NZ,1611923945
358,Hualmay,-11.0964,-77.6139,71.98,72,98,6.82,PE,1611923946
359,Mar del Plata,-38.0023,-57.5575,69.8,60,0,6.91,AR,1611923672
360,Vostok,46.4856,135.8833,-12.3,90,100,3.49,RU,1611923947
361,Chipinge,-20.1883,32.6236,73.85,91,89,6.26,ZW,1611923949
362,Port Augusta,-32.5,137.7667,68.0,77,90,14.97,AU,1611923949
363,Leningradskiy,69.3833,178.4167,-24.75,84,90,7.0,RU,1611923950
364,St. George's,12.0564,-61.7485,80.6,69,20,2.3,GD,1611923950
365,Tūkrah,32.5341,20.5791,62.85,77,92,21.5,LY,1611923951
366,Lingao,19.9103,109.6859,64.9,82,1,14.63,CN,1611923952
367,Nuuk,64.1835,-51.7216,26.6,80,20,12.66,GL,1611923899
368,Berlevåg,70.8578,29.0864,23.0,80,75,25.32,NO,1611923954
369,San Pedro de Macorís,18.4616,-69.2972,73.99,88,40,6.91,DO,1611923955
370,Grindavik,63.8424,-22.4338,33.8,75,0,10.36,IS,1611923957
371,Naberera,-4.2,36.9333,81.16,40,0,6.15,TZ,1611923957
372,Porto Seguro,-16.4497,-39.0647,82.4,65,20,11.5,BR,1611923958
373,Eyl,7.9803,49.8164,78.91,62,1,19.57,SO,1611923959
374,Zhezkazgan,47.8043,67.7144,18.23,96,0,11.95,KZ,1611923960
375,Marshfield,44.6689,-90.1718,8.6,66,75,5.75,US,1611923912
376,Dawson Creek,55.7666,-120.2362,-16.6,76,1,4.61,CA,1611923961
377,Alghero,40.5589,8.3181,59.0,94,40,14.97,IT,1611923961
378,Glarus,47.0406,9.068,42.01,42,100,1.99,CH,1611923962
379,Staunton,38.1496,-79.0717,16.0,73,1,4.61,US,1611923963
380,Auki,-8.7676,160.7034,78.35,87,100,11.88,SB,1611923964
381,Shahr-e Kord,32.3256,50.8644,46.4,53,40,6.91,IR,1611923965
382,Talas,38.6908,35.5538,33.8,69,40,11.5,TR,1611923965
383,Dengzhou,37.8086,120.7508,33.73,82,0,12.12,CN,1611923966
384,Katsuura,35.1333,140.3,43.0,33,20,14.97,JP,1611923966
385,Ixtapa,20.7,-105.2,66.99,88,40,4.61,MX,1611923967
386,Touros,-5.1989,-35.4608,86.0,58,75,16.11,BR,1611923968
387,Ivangorod,59.3716,28.2162,27.41,98,100,9.46,RU,1611923968
388,Novoagansk,61.9449,76.6625,-29.6,83,0,8.7,RU,1611923969
389,Chowchilla,37.123,-120.2602,44.6,93,90,10.36,US,1611923970
390,Aloleng,16.1307,119.7824,76.32,68,1,12.44,PH,1611923970
391,Manta,-0.95,-80.7333,73.4,94,90,6.91,EC,1611923946
392,Blagoyevo,63.3667,47.9167,9.5,94,100,11.14,RU,1611923972
393,Longyearbyen,78.2186,15.6401,-2.2,50,20,21.85,SJ,1611923972
394,Altamira,-3.2033,-52.2064,77.0,83,40,3.44,BR,1611923973
395,Surin,14.8818,103.4936,78.01,55,0,9.26,TH,1611923973
396,Binghamton,42.0987,-75.918,9.0,78,20,12.66,US,1611923680
397,Mehamn,71.0357,27.8492,23.0,74,75,16.11,NO,1611923975
398,Comodoro Rivadavia,-45.8667,-67.5,53.6,62,75,8.05,AR,1611923976
399,Nemuro,43.3236,145.575,29.14,98,100,26.11,JP,1611923976
400,Mogadishu,2.0371,45.3438,84.2,54,0,19.57,SO,1611923977
401,Arica,-18.475,-70.3042,69.8,64,0,4.61,CL,1611923769
402,Road Town,18.4167,-64.6167,75.99,94,20,7.4,VG,1611923979
403,Aloja,57.7669,24.8825,30.0,93,100,1.99,LV,1611923979
404,Kourou,5.1552,-52.6478,78.8,94,75,1.14,GF,1611923980
405,Narsaq,60.9167,-46.05,44.6,31,75,41.43,GL,1611923981
406,Matamoros,25.5333,-103.25,51.01,54,0,0.98,MX,1611923728
407,Jalu,29.0331,21.5482,66.31,40,0,9.15,LY,1611923982
408,Itarema,-2.9248,-39.9167,84.07,66,100,13.47,BR,1611923983
409,Zyryanka,65.75,150.85,-21.73,87,100,7.34,RU,1611923983
410,Siruguppa,15.6333,76.9,79.95,26,62,4.18,IN,1611923984
411,Bonavista,48.6499,-53.1147,26.01,93,100,2.3,CA,1611923985
412,Yanam,16.7333,82.2167,82.4,65,20,6.91,IN,1611923985
413,Olinda,-8.0089,-34.8553,82.4,65,75,9.22,BR,1611923884
414,Uíge,-7.6087,15.0613,84.2,61,75,6.91,AO,1611923821
415,Puerto Carreño,6.189,-67.4859,79.34,63,100,14.34,CO,1611923987
416,Adrar,20.5022,-10.0711,82.08,15,0,16.53,MR,1611923988
417,Cap Malheureux,-19.9842,57.6142,86.0,67,2,5.01,MU,1611923988
418,Jati,24.3539,68.2671,68.83,21,0,7.92,PK,1611923989
419,Boussé,12.6606,-1.8922,91.4,9,0,12.66,BF,1611923989
420,Tessalit,20.1986,1.0114,83.17,12,0,15.48,ML,1611923990
421,Eureka,40.8021,-124.1637,36.0,98,0,7.18,US,1611923720
422,Longonjo,-12.9067,15.2533,77.0,47,75,10.36,AO,1611923991
423,Ananas,19.2466,-71.9557,67.37,77,0,2.89,HT,1611923992
424,Amapá,1.0,-52.0,78.51,82,100,3.58,BR,1611923993
425,Kabare,-2.4683,28.8242,76.23,57,30,3.2,CD,1611923993
426,Ayorou,14.7308,0.9174,92.14,10,0,17.58,NE,1611923994
427,Asău,46.4333,26.4,46.0,53,20,8.05,RO,1611923994
428,Dunda,-8.1167,34.25,80.04,64,87,3.38,TZ,1611923995
429,Moyale,3.5167,39.0584,89.98,20,13,12.84,KE,1611923996
430,Alta Floresta,-9.8756,-56.0861,77.79,86,89,1.9,BR,1611923996
431,Vallenar,-28.5708,-70.7581,70.21,55,2,4.83,CL,1611923712
432,Altos,-5.0381,-42.46,77.0,83,75,4.61,BR,1611923998
433,Sioux Lookout,50.1001,-91.917,-14.8,84,1,2.3,CA,1611923999
434,Isla Mujeres,21.2311,-86.731,73.0,73,75,9.22,MX,1611923999
435,Khorramshahr,30.4397,48.1664,73.4,53,40,16.11,IR,1611924000
436,Luoyang,34.6836,112.4536,51.01,99,100,4.45,CN,1611924001
437,Kulu,39.0951,33.0799,35.08,71,0,12.01,TR,1611924003
438,Beloha,-25.1667,45.05,91.85,49,100,15.79,MG,1611924005
439,Aksu,41.1231,80.2644,24.57,79,0,3.69,CN,1611923950
440,Key Largo,25.0865,-80.4473,57.99,89,80,14.0,US,1611923785
441,Chino Valley,34.7575,-112.4538,39.2,60,75,5.75,US,1611924007
442,Talaya,61.3833,152.75,-27.89,82,100,3.42,RU,1611924008
443,Benidorm,38.5382,-0.131,80.6,28,0,10.36,ES,1611924008
444,Magán,39.9683,-3.931,60.01,71,40,3.0,ES,1611924009
445,Campbell River,50.0163,-125.2446,34.0,100,100,2.17,CA,1611924010
446,Gumdag,39.2061,54.5906,56.86,39,100,4.68,TM,1611924010
447,Yuanping,38.7153,112.7575,30.94,74,0,4.34,CN,1611924011
448,Ahipara,-35.1667,173.1667,57.97,82,0,8.5,NZ,1611924012
449,Pemba,-12.974,40.5178,89.6,62,75,16.11,MZ,1611924012
450,Poum,-20.2333,164.0167,80.1,76,0,14.0,NC,1611924013
451,Laas,46.6166,10.7002,37.4,55,75,6.91,IT,1611924014
452,Wilmington,34.2257,-77.9447,28.99,64,1,9.22,US,1611923781
453,Biaora,23.8667,76.9167,63.55,27,0,6.82,IN,1611924015
454,City of San Pedro,14.35,121.0167,78.8,65,20,6.91,PH,1611924015
455,Holíč,48.8111,17.1624,36.0,100,90,4.61,SK,1611923735
456,Lhokseumawe,5.1801,97.1507,79.0,82,100,7.45,ID,1611924017
457,Nong Khae,14.3406,100.8673,86.0,53,68,5.46,TH,1611924017
458,Saint-Augustin,51.226,-58.6502,10.04,90,0,9.66,CA,1611924018
459,Chenghai,23.4632,116.768,57.2,58,0,8.95,CN,1611924019
460,Garchitorena,13.8804,123.6946,75.87,78,52,18.66,PH,1611924019
461,Murray Bridge,-35.1167,139.2667,62.01,85,42,11.07,AU,1611924020
462,Ballina,-28.8667,153.5667,75.2,73,75,8.05,AU,1611924021
463,Gamba,-2.65,10.0,83.34,74,96,8.39,GA,1611924021
464,Foam Lake,51.65,-103.5343,15.8,79,100,10.36,CA,1611924022
465,Kovdor,67.5662,30.4758,3.81,94,100,2.89,RU,1611924023
466,San Andrés,12.5847,-81.7006,80.6,69,20,14.97,CO,1611924023
467,Dodge City,37.7528,-100.0171,35.01,80,1,14.97,US,1611924012
468,Ambilobe,-13.2,49.05,81.82,79,100,2.01,MG,1611924026
469,Caluquembe,-13.7833,14.6833,76.41,42,100,6.49,AO,1611924026
470,San Rafael,-34.6177,-68.3301,69.31,35,97,4.65,AR,1611924027
471,Nouadhibou,20.931,-17.0347,78.8,34,0,11.5,MR,1611924027
472,Khani,41.9563,42.9566,48.2,71,90,9.22,GE,1611924028
473,Gimli,50.6336,-96.9907,-4.0,84,100,10.96,CA,1611924029
474,Piaçabuçu,-10.4056,-36.4344,83.05,64,100,9.15,BR,1611924029
475,San Buenaventura,27.0833,-101.5333,48.99,50,0,0.6,MX,1611924030
476,Wundanyi,-3.4019,38.364,73.04,69,23,11.05,KE,1611924031
477,Serik,36.9169,31.0989,55.4,28,0,14.97,TR,1611924031
478,Flin Flon,54.7682,-101.865,3.2,85,90,5.75,CA,1611924032
479,Myitkyina,25.3833,97.4,65.01,50,0,2.06,MM,1611924032
480,Hobyo,5.3505,48.5268,79.38,64,0,18.77,SO,1611924033
481,Mahibadhoo,3.7833,72.9667,81.82,75,0,15.05,MV,1611924034
482,Launceston,-41.45,147.1667,61.0,100,75,10.36,AU,1611924034
483,Iquitos,-3.7481,-73.2472,77.0,94,75,2.3,PE,1611924035
484,Nagoya,35.1815,136.9064,37.4,93,75,3.44,JP,1611924036
485,Menongue,-14.6585,17.691,65.97,87,100,6.55,AO,1611924036
486,Sitges,41.2351,1.8119,68.0,53,1,11.99,ES,1611923963
487,Ndioum,16.5129,-14.6471,89.6,15,0,4.61,SN,1611924038
488,Temerloh,3.4483,102.4176,73.71,90,99,4.74,MY,1611924039
489,Oranjemund,-28.55,16.4333,69.82,57,0,21.77,NA,1611924039
490,Vryburg,-26.9566,24.7284,84.52,36,100,10.25,ZA,1611924040
491,Xinzhou,38.4092,112.7333,31.96,73,0,4.12,CN,1611924040
492,Winnemucca,40.973,-117.7357,33.8,86,90,10.36,US,1611924041
493,São Luiz Gonzaga,-28.4083,-54.9608,79.83,81,1,11.79,BR,1611924042
494,Rincon,32.296,-81.2354,33.01,86,20,3.44,US,1611924042
495,Baoma,31.4859,106.1128,50.54,65,99,4.63,CN,1611924043
496,Christchurch,-43.5333,172.6333,54.0,87,90,9.22,NZ,1611923904
497,Lüderitz,-26.6481,15.1594,81.57,35,0,29.42,NA,1611924044
498,Kenai,60.5544,-151.2583,23.0,86,90,3.44,US,1611924045
499,Bagotville,-28.9833,153.4167,75.2,73,75,8.05,AU,1611924046
500,Oppdal,62.5943,9.6912,18.01,80,36,6.6,NO,1611924047
501,Gisborne,-38.6533,178.0042,60.01,66,6,8.01,NZ,1611923854
502,Yulara,-25.2406,130.9889,87.8,45,75,10.36,AU,1611924048
503,Linxia Chengguanzhen,35.6003,103.2064,26.56,77,100,1.48,CN,1611923949
504,Camopi,3.1655,-52.3158,78.06,90,98,1.59,GF,1611924049
505,Pangnirtung,66.1451,-65.7125,-11.2,84,1,5.75,CA,1611924050
506,Palmas,-10.2128,-48.3603,80.6,83,0,2.3,BR,1611923953
507,Vanimo,-2.6741,141.3028,79.77,85,100,9.86,PG,1611924051
508,Carballo,43.213,-8.691,61.0,88,100,5.01,ES,1611924052
509,Taoudenni,22.6783,-3.9836,86.77,13,0,10.0,ML,1611924053
510,Zhigalovo,54.8097,105.1578,-17.57,85,100,3.47,RU,1611924054
511,Mitzic,0.7821,11.549,85.57,58,96,2.48,GA,1611924054
512,Kindia,10.0569,-12.8658,94.42,16,0,4.25,GN,1611924055
513,Bairnsdale,-37.8333,147.6167,66.99,95,100,5.95,AU,1611924055
514,Ukiah,39.1502,-123.2078,41.0,87,90,2.33,US,1611924056
515,Teya,60.3778,92.6267,-23.46,81,100,8.1,RU,1611924057
516,Thinadhoo,0.5333,72.9333,81.81,78,46,12.37,MV,1611924057
517,Nhulunbuy,-12.2333,136.7667,82.4,83,62,5.75,AU,1611924058
518,Muisne,0.6,-80.0333,73.4,100,90,5.75,EC,1611924059
519,Telimele,10.9167,-13.3333,97.41,12,24,4.07,GN,1611924059
520,Lompoc,34.6391,-120.4579,44.6,93,1,4.61,US,1611924060
521,Lokomotivnyy,53.0118,60.5684,9.66,95,2,7.47,RU,1611924060
522,Kulhudhuffushi,6.6221,73.07,81.19,64,24,9.19,MV,1611924061
523,Leeds,53.7964,-1.5477,50.0,87,75,14.97,GB,1611924062
524,Verkhnyaya Khava,51.8404,39.9413,32.0,74,90,17.9,RU,1611924063
525,The Pas,53.8251,-101.2541,3.2,85,90,10.36,CA,1611924063
526,Marrakesh,31.6315,-8.0083,75.2,33,0,4.61,MA,1611923992
527,Ostrovnoy,68.0531,39.5131,4.24,93,100,19.55,RU,1611924065
528,Yambio,4.5721,28.3955,99.25,16,32,7.52,SS,1611924066
529,Ithaca,42.4406,-76.4966,10.99,78,90,14.97,US,1611923838
530,Prado,-17.3411,-39.2208,82.27,65,1,8.79,BR,1611924068
531,Codrington,-38.2667,141.9667,58.66,94,2,7.72,AU,1611924068
532,Hofn,64.2539,-15.2082,26.6,86,0,5.75,IS,1611924069
533,Ormara,25.2088,64.6357,71.46,47,0,9.01,PK,1611924070
534,Irámuco,19.95,-100.9167,45.72,90,96,1.57,MX,1611924070
535,Santo Domingo,18.5001,-69.9886,75.0,88,20,8.95,DO,1611924009
536,Barabai,-2.5833,115.3833,76.35,82,100,1.81,ID,1611923950
537,Nioro,13.35,-15.75,97.72,8,100,10.13,GM,1611924072
538,Clarence Town,-32.5833,151.7833,72.0,100,90,10.36,AU,1611924073
539,Kosino,58.4127,51.2782,22.91,97,100,10.2,RU,1611924073
540,Ossora,59.2353,163.0719,-2.94,84,57,5.21,RU,1611924074
541,Umm Hājar,13.2954,19.6966,96.12,9,25,9.51,TD,1611924006
542,Ballitoville,-29.539,31.2144,80.6,65,20,13.8,ZA,1611924075
543,Hue,16.4667,107.6,69.8,83,40,5.75,VN,1611923981
544,Half Moon Bay,37.4636,-122.4286,46.0,93,20,3.44,US,1611924076
545,Zliten,32.4674,14.5687,71.87,41,0,16.78,LY,1611924077
546,Adwa,14.1646,38.8955,82.31,14,4,6.58,ET,1611924078
547,Tateyama,34.9833,139.8667,43.0,46,97,1.81,JP,1611924078
548,Colesberg,-30.72,25.0972,83.89,18,0,6.31,ZA,1611924079
549,Taos,36.4072,-105.5731,24.01,79,1,6.91,US,1611924080
550,Deputatsky,69.3,139.9,-32.67,86,100,1.61,RU,1611924080
551,Khon Kaen,16.5,102.0833,74.62,48,76,2.01,TH,1611924081
552,Kirakira,-10.4544,161.9205,80.55,84,100,15.82,SB,1611924082
553,Marawi,7.9986,124.2928,80.01,83,100,8.01,PH,1611924082
